Symbol,Trade Topic,TOB Topic,L2 Topic,Trade Prefix,TOB Prefix,L2 Prefix
6B,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6B,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6B,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6B,trd,tob,l2
6M,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6M,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6M,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6M,trd,tob,l2
6A,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6A,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6A,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6A,trd,tob,l2
6C,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6C,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6C,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6C,trd,tob,l2
6S,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6S,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6S,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6S,trd,tob,l2
6L,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6L,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6L,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6L,trd,tob,l2
6N,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6N,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6N,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6N,trd,tob,l2
RP,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.RP,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.RP,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.RP,trd,tob,l2
6R,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6R,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6R,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6R,trd,tob,l2
RY,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.RY,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.RY,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.RY,trd,tob,l2
6Z,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.6Z,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.6Z,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.6Z,trd,tob,l2
RF,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.RF,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.RF,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.RF,trd,tob,l2
M6B,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.M6B,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.M6B,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.M6B,trd,tob,l2
SIR,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.SIR,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.SIR,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.SIR,trd,tob,l2
KRW,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.KRW,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.KRW,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.KRW,trd,tob,l2
PLN,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.PLN,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.PLN,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.PLN,trd,tob,l2
PSF,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.PSF,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.PSF,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.PSF,trd,tob,l2
ILS,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.ILS,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.ILS,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.ILS,trd,tob,l2
RMB,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.RMB,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.RMB,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.RMB,trd,tob,l2
CZK,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.CZK,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.CZK,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.CZK,trd,tob,l2
RME,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.RME,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.RME,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.RME,trd,tob,l2
ZAR,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.ZAR,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.ZAR,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.ZAR,trd,tob,l2
CHL,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TRD.XCME.CHL,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.TOB.XCME.CHL,PROD.SSCL.GCP.MD.RT.CMEG.JSON.v01000.LVL2.XCME.CHL,trd,tob,l2